	0kb_BR_min_size		1kb_BR_min_size		2kb_BR_min_size		3kb_BR_min_size		4kb_BR_min_size		5kb_BR_min_size		6kb_BR_min_size		7kb_BR_min_size		8kb_BR_min_size		9kb_BR_min_size		10kb_BR_min_size		20kb_BR_min_size		50kb_BR_min_size		100kb_BR_min_size		TOTAL	
chunk	regions	bases	regions	bases	regions	bases	regions	bases	regions	bases	regions	bases	regions	bases	regions	bases	regions	bases	regions	bases	regions	bases	regions	bases	regions	bases	regions	bases	REGIONS	BASES
chr1:500,000-1,500,000	450	401028	16	330301	5	315503	2	308401	2	308401	2	308401	2	308401	2	308401	1	300793	1	300793	1	300793	1	300793	1	300793	1	300793	487	4,393,595
chr1:1,500,000-2,500,000	486	110500	29	64390	10	34452	5	22136	3	14783	1	5060	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	534	251,321
chr1:2,500,000-3,500,000	198	152994	13	122616	8	116706	7	114500	5	106879	4	102679	4	102679	4	102679	4	102679	3	94588	3	94588	3	94588	0	0	0	0	256	1,308,175
chr1:3,500,000-4,500,000	295	39735	6	11687	2	5465	1	3399	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	304	60,286
chr1:4,500,000-5,500,000	262	34049	4	5384	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	266	39,433
chr1:5,500,000-6,500,000	374	35712	4	6316	1	2144	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	379	44,172
chr1:6,500,000-7,500,000	307	26094	1	4930	1	4930	1	4930	1	4930	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	311	45,814
chr1:7,500,000-8,500,000	343	29552	5	8498	2	4674	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	350	42,724
chr1:8,500,000-9,500,000	447	31328	1	2642	1	2642	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	449	36,612
chr1:9,500,000-10,500,000	549	26641	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	549	26,641
chr1:10,500,000-11,500,000	355	29604	3	6327	1	3333	1	3333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	360	42,597
chr1:11,500,000-12,500,000	359	21341	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	359	21,341
chr1:12,500,000-13,500,000	538	536525	54	460126	32	431334	21	402844	19	395477	16	382415	14	371061	13	364577	13	364577	13	364577	13	364577	7	276157	1	75550	0	0	754	4,789,797
chr1:13,500,000-14,500,000	345	27698	4	7235	1	3103	1	3103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	351	41,139
chr1:14,500,000-15,500,000	341	22494	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	341	22,494
chr1:15,500,000-16,500,000	517	36953	1	1096	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	518	38,049
chr1:16,500,000-17,500,000	549	330749	47	279235	25	249740	16	227482	14	220352	12	211501	9	195641	7	182369	7	182369	7	182369	7	182369	4	139221	1	56696	0	0	705	2,640,093
chr1:17,500,000-18,500,000	250	18960	2	2594	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	252	21,554
chr1:18,500,000-19,500,000	265	18501	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	265	18,501
chr1:19,500,000-20,500,000	372	19862	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	372	19,862
chr1:20,500,000-21,500,000	503	57206	9	19232	4	11721	2	6767	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	518	94,926
chr1:21,500,000-22,500,000	416	45689	8	9744	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	424	55,433
chr1:22,500,000-23,500,000	346	22083	2	2922	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	348	25,005
chr1:23,500,000-24,500,000	451	31998	6	8747	1	2461	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	458	43,206
chr1:24,500,000-25,500,000	576	106503	18	41710	5	24074	4	21427	4	21427	2	12947	2	12947	0	0	0	0	0	0	0	0	0	0	0	0	0	0	611	241,035
chr1:25,500,000-26,500,000	397	25485	1	6049	1	6049	1	6049	1	6049	1	6049	1	6049	0	0	0	0	0	0	0	0	0	0	0	0	0	0	403	61,779
chr1:26,500,000-27,500,000	549	37482	3	5082	2	4062	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	554	46,626
chr1:27,500,000-28,500,000	532	26209	2	3972	1	2886	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	535	33,067
chr1:28,500,000-29,500,000	476	27669	1	1241	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	477	28,910
chr1:29,500,000-30,500,000	269	38885	4	11541	2	8506	2	8506	1	5505	1	5505	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	279	78,448
chr1:30,500,000-31,500,000	407	28301	1	1500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	408	29,801
chr1:31,500,000-32,500,000	439	24964	2	2375	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	441	27,339
chr1:32,500,000-33,500,000	418	28765	2	3751	1	2423	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	421	34,939
chr1:33,500,000-34,500,000	197	35588	7	19558	3	14224	2	11286	2	11286	2	11286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	213	103,228
chr1:34,500,000-35,500,000	423	39808	5	11183	1	5959	1	5959	1	5959	1	5959	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	432	74,827
