	0kb_BR_min_size		1kb_BR_min_size		2kb_BR_min_size		3kb_BR_min_size		4kb_BR_min_size		5kb_BR_min_size		6kb_BR_min_size		7kb_BR_min_size		8kb_BR_min_size		9kb_BR_min_size		10kb_BR_min_size		20kb_BR_min_size		50kb_BR_min_size		100kb_BR_min_size		TOTAL	
chunk	regions	bases	regions	bases	regions	bases	regions	bases	regions	bases	regions	bases	regions	bases	regions	bases	regions	bases	regions	bases	regions	bases	regions	bases	regions	bases	regions	bases	REGIONS	BASES
chr1:750,000-1,750,000	679	238465	42	139692	15	99955	7	80537	5	73184	3	63461	2	58401	2	58401	1	50793	1	50793	1	50793	1	50793	1	50793	1	50793	761	1,116,854
chr1:1,750,000-2,750,000	318	124582	11	99561	6	92080	5	89874	3	82253	3	82253	3	82253	3	82253	3	82253	2	74162	2	74162	2	74162	0	0	0	0	361	1,039,848
chr1:2,750,000-3,750,000	198	58743	7	29616	3	24626	3	24626	3	24626	2	20426	2	20426	2	20426	2	20426	2	20426	2	20426	2	20426	0	0	0	0	228	305,219
chr1:3,750,000-4,750,000	302	38809	6	11247	2	5465	1	3399	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	311	58,920
chr1:4,750,000-5,750,000	285	37658	4	5485	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	289	43,143
chr1:5,750,000-6,750,000	400	32742	3	5093	1	2144	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	404	39,979
chr1:6,750,000-7,750,000	250	30999	6	13428	3	9604	1	4930	1	4930	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	261	63,891
chr1:7,750,000-8,750,000	422	29547	1	2642	1	2642	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	424	34,831
chr1:8,750,000-9,750,000	449	26138	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	449	26,138
chr1:9,750,000-10,750,000	464	22303	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	464	22,303
chr1:10,750,000-11,750,000	381	31513	3	6327	1	3333	1	3333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	386	44,506
chr1:11,750,000-12,750,000	378	24656	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	378	24,656
chr1:12,750,000-13,750,000	566	536111	54	460126	32	431334	21	402844	19	395477	16	382415	14	371061	13	364577	13	364577	13	364577	13	364577	7	276157	1	75550	0	0	782	4,789,383
chr1:13,750,000-14,750,000	278	23943	4	7235	1	3103	1	3103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	284	37,384
chr1:14,750,000-15,750,000	383	23725	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	383	23,725
chr1:15,750,000-16,750,000	609	213913	30	161053	17	144253	10	127235	8	120105	6	111254	5	105460	5	105460	5	105460	5	105460	5	105460	3	73865	0	0	0	0	708	1,478,978
chr1:16,750,000-17,750,000	439	153786	20	120307	9	105487	7	100247	7	100247	7	100247	5	90181	3	76909	3	76909	3	76909	3	76909	2	65356	1	56696	0	0	509	1,200,190
chr1:17,750,000-18,750,000	232	19282	1	1565	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	233	20,847
chr1:18,750,000-19,750,000	323	19232	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	323	19,232
