	0kb_ELR_min_size		1kb_ELR_min_size		2kb_ELR_min_size		3kb_ELR_min_size		4kb_ELR_min_size		5kb_ELR_min_size		TOTAL	
interval	regions	bases	regions	bases	regions	bases	regions	bases	regions	bases	regions	bases	BASES	REGIONS
chr1:750,000-1,750,000	2	30800	2	30800	2	30800	2	30800	2	30800	2	30800	12	184,800
chr1:1,750,000-2,750,000	2	154640	2	154640	2	154640	2	154640	2	154640	2	154640	12	927,840
chr1:3,750,000-4,750,000	2	152100	2	152100	2	152100	2	152100	2	152100	2	152100	12	912,600
chr1:4,750,000-5,750,000	1	22000	1	22000	1	22000	1	22000	1	22000	1	22000	6	132,000
chr1:12,750,000-13,750,000	3	200000	3	200000	3	200000	3	200000	3	200000	3	200000	18	1,200,000
chr1:16,750,000-17,750,000	1	479900	1	479900	1	479900	1	479900	1	479900	1	479900	6	2,879,400
chr1:24,750,000-25,750,000	1	155036	1	155036	1	155036	1	155036	1	155036	1	155036	6	930,216
chr1:25,750,000-26,750,000	1	30617	1	30617	1	30617	1	30617	1	30617	1	30617	6	183,702
chr1:29,750,000-30,750,000	1	150000	1	150000	1	150000	1	150000	1	150000	1	150000	6	900,000
chr1:32,750,000-33,750,000	1	62693	1	62693	1	62693	1	62693	1	62693	1	62693	6	376,158
chr1:37,750,000-38,750,000	1	1900	1	1900	1	1900	1	1900	1	1900	1	1900	6	11,400
chr1:46,750,000-47,750,000	1	121921	1	121921	1	121921	1	121921	1	121921	1	121921	6	731,526
chr1:59,750,000-60,750,000	1	127627	1	127627	1	127627	1	127627	1	127627	1	127627	6	765,762
chr1:86,750,000-87,750,000	1	172238	1	172238	1	172238	1	172238	1	172238	1	172238	6	1,033,428
chr1:91,750,000-92,750,000	1	17600	1	17600	1	17600	1	17600	1	17600	1	17600	6	105,600
chr1:103,750,000-104,750,000	2	143026	2	143026	2	143026	2	143026	2	143026	2	143026	12	858,156
chr1:113,750,000-114,750,000	1	141619	1	141619	1	141619	1	141619	1	141619	1	141619	6	849,714
chr1:119,750,000-120,750,000	1	218400	1	218400	1	218400	1	218400	1	218400	1	218400	6	1,310,400
chr1:120,750,000-121,750,000	3	778000	3	778000	3	778000	3	778000	3	778000	3	778000	18	4,668,000
chr1:121,750,000-122,750,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr1:122,750,000-123,750,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr1:123,750,000-124,750,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr1:124,750,000-125,750,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr1:125,750,000-126,750,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr1:126,750,000-127,750,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr1:127,750,000-128,750,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr1:128,750,000-129,750,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr1:129,750,000-130,750,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr1:130,750,000-131,750,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr1:131,750,000-132,750,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr1:132,750,000-133,750,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr1:133,750,000-134,750,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr1:134,750,000-135,750,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr1:135,750,000-136,750,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr1:136,750,000-137,750,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr1:137,750,000-138,750,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr1:138,750,000-139,750,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr1:139,750,000-140,750,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr1:140,750,000-141,750,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr1:141,750,000-142,750,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr1:142,750,000-143,750,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr1:143,750,000-144,750,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr1:144,750,000-145,750,000	1	646500	1	646500	1	646500	1	646500	1	646500	1	646500	6	3,879,000
chr1:145,750,000-146,750,000	3	150000	3	150000	3	150000	3	150000	3	150000	3	150000	18	900,000
chr1:146,750,000-147,750,000	1	306900	1	306900	1	306900	1	306900	1	306900	1	306900	6	1,841,400
chr1:147,750,000-148,750,000	1	918000	1	918000	1	918000	1	918000	1	918000	1	918000	6	5,508,000
chr1:148,750,000-149,750,000	3	561885	3	561885	3	561885	3	561885	3	561885	3	561885	18	3,371,310
chr1:151,750,000-152,750,000	1	5400	1	5400	1	5400	1	5400	1	5400	1	5400	6	32,400
chr1:154,750,000-155,750,000	1	128377	1	128377	1	128377	1	128377	1	128377	1	128377	6	770,262
chr1:155,750,000-156,750,000	1	2300	1	2300	1	2300	1	2300	1	2300	1	2300	6	13,800
chr1:160,750,000-161,750,000	1	50400	1	50400	1	50400	1	50400	1	50400	1	50400	6	302,400
chr1:167,750,000-168,750,000	1	5500	1	5500	1	5500	1	5500	1	5500	1	5500	6	33,000
chr1:203,750,000-204,750,000	1	2000	1	2000	1	2000	1	2000	1	2000	1	2000	6	12,000
chr1:205,750,000-206,750,000	2	300000	2	300000	2	300000	2	300000	2	300000	2	300000	12	1,800,000
chr1:206,750,000-207,750,000	1	109127	1	109127	1	109127	1	109127	1	109127	1	109127	6	654,762
chr1:207,750,000-208,750,000	1	138488	1	138488	1	138488	1	138488	1	138488	1	138488	6	830,928
chr1:222,750,000-223,750,000	1	43238	1	43238	1	43238	1	43238	1	43238	1	43238	6	259,428
chr1:223,750,000-224,750,000	2	113815	2	113815	2	113815	2	113815	2	113815	2	113815	12	682,890
chr1:227,750,000-228,750,000	1	6300	1	6300	1	6300	1	6300	1	6300	1	6300	6	37,800
chr1:228,750,000-229,750,000	1	32800	1	32800	1	32800	1	32800	1	32800	1	32800	6	196,800
chr1:234,750,000-235,750,000	1	50000	1	50000	1	50000	1	50000	1	50000	1	50000	6	300,000
chr1:236,750,000-237,750,000	1	3000	1	3000	1	3000	1	3000	1	3000	1	3000	6	18,000
chr1:237,750,000-238,750,000	1	2000	1	2000	1	2000	1	2000	1	2000	1	2000	6	12,000
chr1:246,750,000-247,750,000	1	2100	1	2100	1	2100	1	2100	1	2100	1	2100	6	12,600
chr1:248,750,000-249,250,621	2	175321	2	175321	2	175321	2	175321	2	175321	2	175321	12	1,051,926
chr2:1,750,000-2,750,000	1	2100	1	2100	1	2100	1	2100	1	2100	1	2100	6	12,600
chr2:2,750,000-3,750,000	2	52400	2	52400	2	52400	2	52400	2	52400	2	52400	12	314,400
chr2:4,750,000-5,750,000	1	100000	1	100000	1	100000	1	100000	1	100000	1	100000	6	600,000
chr2:13,750,000-14,750,000	1	19200	1	19200	1	19200	1	19200	1	19200	1	19200	6	115,200
chr2:15,750,000-16,750,000	1	50000	1	50000	1	50000	1	50000	1	50000	1	50000	6	300,000
chr2:20,750,000-21,750,000	1	25000	1	25000	1	25000	1	25000	1	25000	1	25000	6	150,000
chr2:32,750,000-33,750,000	1	3100	1	3100	1	3100	1	3100	1	3100	1	3100	6	18,600
chr2:48,750,000-49,750,000	1	2100	1	2100	1	2100	1	2100	1	2100	1	2100	6	12,600
chr2:62,750,000-63,750,000	1	24800	1	24800	1	24800	1	24800	1	24800	1	24800	6	148,800
chr2:69,750,000-70,750,000	1	2900	1	2900	1	2900	1	2900	1	2900	1	2900	6	17,400
chr2:86,750,000-87,750,000	2	323500	2	323500	2	323500	2	323500	2	323500	2	323500	12	1,941,000
chr2:87,750,000-88,750,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr2:88,750,000-89,750,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr2:89,750,000-90,750,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr2:90,750,000-91,750,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr2:91,750,000-92,750,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr2:92,750,000-93,750,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr2:93,750,000-94,750,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr2:94,750,000-95,750,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr2:95,750,000-96,750,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr2:96,750,000-97,750,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr2:97,750,000-98,750,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr2:98,750,000-99,750,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr2:99,750,000-100,750,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr2:100,750,000-101,750,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr2:101,750,000-102,750,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr2:102,750,000-103,750,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr2:103,750,000-104,750,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr2:104,750,000-105,750,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr2:105,750,000-106,750,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr2:106,750,000-107,750,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr2:107,750,000-108,750,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr2:108,750,000-109,750,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr2:109,750,000-110,750,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr2:110,750,000-111,750,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr2:111,750,000-112,750,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr2:112,750,000-113,750,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr2:113,750,000-114,750,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr2:114,750,000-115,750,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr2:115,750,000-116,750,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr2:116,750,000-117,750,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr2:117,750,000-118,750,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr2:118,750,000-119,750,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr2:119,750,000-120,750,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr2:120,750,000-121,750,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr2:121,750,000-122,750,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr2:122,750,000-123,750,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr2:123,750,000-124,750,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr2:124,750,000-125,750,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr2:125,750,000-126,750,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr2:126,750,000-127,750,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr2:127,750,000-128,750,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr2:128,750,000-129,750,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr2:129,750,000-130,750,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr2:130,750,000-131,750,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr2:131,750,000-132,750,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr2:132,750,000-133,750,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr2:133,750,000-134,750,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr2:134,750,000-135,750,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr2:135,750,000-136,750,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr2:136,750,000-137,750,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr2:137,750,000-138,750,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr2:138,750,000-139,750,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr2:139,750,000-140,750,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr2:140,750,000-141,750,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr2:141,750,000-142,750,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr2:142,750,000-143,750,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr2:143,750,000-144,750,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr2:144,750,000-145,750,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr2:145,750,000-146,750,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr2:146,750,000-147,750,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr2:147,750,000-148,750,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr2:148,750,000-149,750,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr2:149,750,000-150,750,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr2:150,750,000-151,750,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr2:151,750,000-152,750,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr2:152,750,000-153,750,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr2:153,750,000-154,750,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr2:154,750,000-155,750,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr2:155,750,000-156,750,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
