	0kb_ELR_min_size		1kb_ELR_min_size		2kb_ELR_min_size		3kb_ELR_min_size		4kb_ELR_min_size		5kb_ELR_min_size		TOTAL	
interval	regions	bases	regions	bases	regions	bases	regions	bases	regions	bases	regions	bases	BASES	REGIONS
chr1:500,000-1,500,000	2	280800	2	280800	2	280800	2	280800	2	280800	2	280800	12	1,684,800
chr1:1,500,000-2,500,000	1	3600	1	3600	1	3600	1	3600	1	3600	1	3600	6	21,600
chr1:2,500,000-3,500,000	1	151040	1	151040	1	151040	1	151040	1	151040	1	151040	6	906,240
chr1:3,500,000-4,500,000	2	152100	2	152100	2	152100	2	152100	2	152100	2	152100	12	912,600
chr1:5,500,000-6,500,000	1	22000	1	22000	1	22000	1	22000	1	22000	1	22000	6	132,000
chr1:12,500,000-13,500,000	2	150000	2	150000	2	150000	2	150000	2	150000	2	150000	12	900,000
chr1:13,500,000-14,500,000	1	50000	1	50000	1	50000	1	50000	1	50000	1	50000	6	300,000
chr1:16,500,000-17,500,000	1	479900	1	479900	1	479900	1	479900	1	479900	1	479900	6	2,879,400
chr1:25,500,000-26,500,000	1	185653	1	185653	1	185653	1	185653	1	185653	1	185653	6	1,113,918
chr1:29,500,000-30,500,000	1	150000	1	150000	1	150000	1	150000	1	150000	1	150000	6	900,000
chr1:33,500,000-34,500,000	1	62693	1	62693	1	62693	1	62693	1	62693	1	62693	6	376,158
chr1:37,500,000-38,500,000	1	1900	1	1900	1	1900	1	1900	1	1900	1	1900	6	11,400
chr1:46,500,000-47,500,000	1	121921	1	121921	1	121921	1	121921	1	121921	1	121921	6	731,526
chr1:59,500,000-60,500,000	1	127627	1	127627	1	127627	1	127627	1	127627	1	127627	6	765,762
chr1:86,500,000-87,500,000	1	74564	1	74564	1	74564	1	74564	1	74564	1	74564	6	447,384
chr1:87,500,000-88,500,000	1	97674	1	97674	1	97674	1	97674	1	97674	1	97674	6	586,044
chr1:91,500,000-92,500,000	1	17600	1	17600	1	17600	1	17600	1	17600	1	17600	6	105,600
chr1:103,500,000-104,500,000	2	143026	2	143026	2	143026	2	143026	2	143026	2	143026	12	858,156
chr1:113,500,000-114,500,000	1	141619	1	141619	1	141619	1	141619	1	141619	1	141619	6	849,714
chr1:120,500,000-121,500,000	3	746400	3	746400	3	746400	3	746400	3	746400	3	746400	18	4,478,400
chr1:121,500,000-122,500,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr1:122,500,000-123,500,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr1:123,500,000-124,500,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr1:124,500,000-125,500,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr1:125,500,000-126,500,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr1:126,500,000-127,500,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr1:127,500,000-128,500,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr1:128,500,000-129,500,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr1:129,500,000-130,500,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr1:130,500,000-131,500,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr1:131,500,000-132,500,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr1:132,500,000-133,500,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr1:133,500,000-134,500,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr1:134,500,000-135,500,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr1:135,500,000-136,500,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr1:136,500,000-137,500,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr1:137,500,000-138,500,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr1:138,500,000-139,500,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr1:139,500,000-140,500,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr1:140,500,000-141,500,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr1:141,500,000-142,500,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr1:142,500,000-143,500,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr1:143,500,000-144,500,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr1:144,500,000-145,500,000	1	896500	1	896500	1	896500	1	896500	1	896500	1	896500	6	5,379,000
chr1:145,500,000-146,500,000	3	150000	3	150000	3	150000	3	150000	3	150000	3	150000	18	900,000
chr1:146,500,000-147,500,000	1	75200	1	75200	1	75200	1	75200	1	75200	1	75200	6	451,200
chr1:147,500,000-148,500,000	2	899700	2	899700	2	899700	2	899700	2	899700	2	899700	12	5,398,200
chr1:148,500,000-149,500,000	2	599155	2	599155	2	599155	2	599155	2	599155	2	599155	12	3,594,930
chr1:149,500,000-150,500,000	2	212730	2	212730	2	212730	2	212730	2	212730	2	212730	12	1,276,380
chr1:151,500,000-152,500,000	1	5400	1	5400	1	5400	1	5400	1	5400	1	5400	6	32,400
chr1:154,500,000-155,500,000	1	128377	1	128377	1	128377	1	128377	1	128377	1	128377	6	770,262
chr1:155,500,000-156,500,000	1	2300	1	2300	1	2300	1	2300	1	2300	1	2300	6	13,800
chr1:160,500,000-161,500,000	1	50400	1	50400	1	50400	1	50400	1	50400	1	50400	6	302,400
chr1:167,500,000-168,500,000	1	5500	1	5500	1	5500	1	5500	1	5500	1	5500	6	33,000
chr1:203,500,000-204,500,000	1	2000	1	2000	1	2000	1	2000	1	2000	1	2000	6	12,000
chr1:205,500,000-206,500,000	2	300000	2	300000	2	300000	2	300000	2	300000	2	300000	12	1,800,000
chr1:207,500,000-208,500,000	1	247615	1	247615	1	247615	1	247615	1	247615	1	247615	6	1,485,690
chr1:223,500,000-224,500,000	2	157053	2	157053	2	157053	2	157053	2	157053	2	157053	12	942,318
chr1:228,500,000-229,500,000	1	39100	1	39100	1	39100	1	39100	1	39100	1	39100	6	234,600
